"";"Date";"NAV";"NCF";"CD";"CC";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return";"TVPI";"NAV2CC";"CD2CC";"NAV2minus.NCF"
"1";1996-12-31;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
"2";1997-12-31;95000;-105714;0;105714;-105714;95000;-10714;-Inf;0,898651077435344;0,898651077435344;0;0,898651077435344
"3";1998-12-31;1735330;-2006794;0;2006794;-1901080;1640330;-260750;-1,74473684210526;0,864727520612479;0,864727520612479;0;0,864727520612479
"4";1999-12-31;4621330;-4848682;0;4848682;-2841888;2886000;44112;1,02541994894343;0,953110556641991;0,953110556641991;0;0,953110556641991
"5";2000-12-31;3250660;-2288066;3472421;5760487;2560616;-1370670;1189946;1,25748994337128;1,167102885572;0,564302983410951;0,60279990216105;1,42070202520382
"6";2001-12-31;4600660;-3636461;3665399;7301860;-1348395;1350000;1605;1,00049374588545;1,13204840958331;0,63006685967685;0,501981549906462;1,26514762567232
"7";2002-12-31;5321000;-4498484;3665399;8163883;-862023;720340;-141683;0,969203766416123;1,100750586455;0,651773181952755;0,448977404502245;1,18284293108523
"8";2003-12-31;5619000;-4941979;3693640;8635619;-443495;298000;-145495;0,972656455553467;1,07839866487857;0,650677154700781;0,427721510177788;1,13699390466855
"9";2004-12-31;1443000;2982334;12273334;9291000;7924313;-4176000;3748313;1,66707830574835;1,47630330427295;0,155311591863093;1,32099171240986;-0,48384922681363
"10";2005-12-31;544330;4921334;14217334;9296000;1939000;-898670;1040330;1,72094941094941;1,5879586919105;0,0585552925989673;1,52940339931153;-0,110606189297455
"11";2006-12-31;475000;5170334;14470001;9299667;249000;-69330;179670;1,33007550566752;1,60704689748568;0,0510770977068319;1,55596979977885;-0,0918702737579429
"12";2007-12-31;0;5213601;14523601;9310000;43267;-475000;-431733;0,0910884210526316;1,56000010741139;0;1,56000010741139;0
"13";2008-12-31;0;5213601;14523601;9310000;0;0;0;NA;1,56000010741139;0;1,56000010741139;0
