"","Date","Fund.ID","NAV","NAV.date","NCF","CD","CC","Age.week","NAV.date.diff","delta.CC","delta.CD","delta.NCF","delta.NAV","delta.NAV.NCF","Return.NAV","Return.EVB","TVPI","RVPI","CD2CC","NAV2Com","Fuel.Level"
"1",2006-12-31,"9510537",NA,NA,NA,NA,NA,-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2007-12-31,"9510537",1542170,"2007-12-31",-1750000,0,1750000,33,0,1487360,0,-1487360,1163070,-324290,0.7897,0.893,0.8812,0.8812,0,0.1542,0.9788
"3",2008-12-31,"9510537",2705240,"2008-12-31",-3237360,0,3237360,85,0,1130658,0,-1130658,1591580,460922,1.1704,1.1202,0.8356,0.8356,0,0.2705,0.9458
"4",2009-12-31,"9510537",4296820,"2009-12-31",-4368018,0,4368018,137,0,2495000,0,-2495000,2707490,212490,1.0495,1.0313,0.9837,0.9837,0,0.4297,0.9928
"5",2010-12-31,"9510537",7004310,"2010-12-31",-6863018,0,6863018,189,0,950000,0,-950000,1714980,764980,1.1092,1.0962,1.0206,1.0206,0,0.7004,1.0144
"6",2011-12-31,"9510537",8719290,"2011-12-31",-7813018,0,7813018,241,0,1716271,246742,-1469529,1120510,-349019,0.96,0.9666,1.116,1.116,0,0.8719,1.0922
"7",2012-12-31,"9510537",9839800,"2012-12-31",-9282547,246742,9529289,294,0,387755,0,-387755,-683060,-1070815,0.8912,0.8953,1.0585,1.0326,0.0259,0.984,1.0316
"8",2013-12-31,"9510537",9156740,"2013-12-31",-9670302,246742,9917044,346,0,-154214,-246742,-92528,-613540,-706068,0.9229,0.9216,0.9482,0.9233,0.0249,0.9157,0.9226
"9",2014-12-31,"9510537",8543200,"2014-12-31",-9762830,0,9762830,398,0,62526,0,-62526,-1530850,-1593376,0.8135,0.8148,0.8751,0.8751,0,0.8543,0.8759
"10",2015-12-31,"9510537",7012350,"2015-03-31",-9825356,0,9825356,450,39,NA,NA,NA,NA,NA,NA,NA,0.7137,0.7137,0,0.7012,0.7137
"11",2008-12-31,"9510860",NA,NA,NA,NA,NA,-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2009-12-31,"9510860",1680200,"2009-12-31",-2249755,0,2249755,26,0,3105000,6335,-3098665,3929580,830915,1.4945,1.1736,0.7468,0.7468,0,0.168,0.9366
"13",2010-12-31,"9510860",5609780,"2010-12-31",-5348420,6335,5354755,78,0,2622000,0,-2622000,5194320,2572320,1.4585,1.3125,1.0488,1.0476,0.0012,0.561,1.0284
"14",2011-12-31,"9510860",10804100,"2011-12-31",-7970420,6335,7976755,131,0,835313,0,-835313,1822820,987507,1.0914,1.0848,1.3552,1.3544,8e-04,1.0804,1.3149
"15",2012-12-31,"9510860",12626920,"2012-12-31",-8805733,6335,8812068,183,0,735388,89863,-645525,856170,210645,1.0167,1.0158,1.4336,1.4329,7e-04,1.2627,1.4249
"16",2013-12-31,"9510860",13483090,"2013-12-31",-9451258,96198,9547456,235,0,-569007,3146491,3715498,1006510,4722008,1.3502,1.3656,1.4223,1.4122,0.0101,1.3483,1.4383
"17",2014-12-31,"9510860",14489600,"2014-12-31",-5735760,3242689,8978449,287,0,0,0,0,784610,784610,1.0541,1.0541,1.975,1.6138,0.3612,1.449,1.6138
"18",2015-12-31,"9510860",15274210,"2015-03-31",-5735760,3242689,8978449,339,39,NA,NA,NA,NA,NA,NA,NA,2.0624,1.7012,0.3612,1.5274,1.7012
"19",2005-06-30,"956591",NA,NA,NA,NA,NA,-46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2006-06-30,"956591",0,"2006-06-30",-146478,0,146478,6,0,1329097,177,-1328920,1131230,-197690,-Inf,0.8513,0,0,0,0,0.9861
"21",2007-06-30,"956591",1131230,"2007-06-30",-1475398,177,1475575,59,0,3335689,967230,-2368459,3038420,669961,1.5922,1.15,0.7668,0.7666,1e-04,0.1131,0.9672
"22",2008-06-30,"956591",4169650,"2008-06-30",-3843857,967407,4811264,111,0,1126478,2598320,1471842,-1665160,-193318,0.9536,0.9635,1.0677,0.8666,0.2011,0.417,0.939
"23",2009-06-30,"956591",2504490,"2009-06-30",-2372015,3565727,5937742,163,0,1319068,812711,-506357,1400280,893923,1.3569,1.2338,1.0223,0.4218,0.6005,0.2504,0.6734
"24",2010-06-30,"956591",3904770,"2010-06-30",-2878372,4378438,7256810,215,0,2991960,1479858,-1512102,2010690,498588,1.1277,1.0723,1.1414,0.5381,0.6034,0.3905,0.6812
"25",2011-06-30,"956591",5915460,"2011-06-30",-4390474,5858296,10248770,267,0,7567,332394,324827,422950,747777,1.1264,1.1262,1.1488,0.5772,0.5716,0.5772,0.5878
"26",2012-06-30,"956591",6338410,"2012-06-30",-4065647,6190690,10256337,320,0,118069,2686274,2568205,-1228660,1339545,1.2113,1.2075,1.2216,0.618,0.6036,0.618,0.6273
"27",2013-06-30,"956591",5109750,"2013-06-30",-1497442,8876964,10374406,372,0,102232,3272568,3170336,-2156480,1013856,1.1984,1.1945,1.3482,0.4925,0.8557,0.4925,0.4992
"28",2014-06-30,"956591",2953270,"2014-06-30",1672894,12149532,10476638,424,0,36667,64709,28042,39330,67372,1.0228,1.0225,1.4416,0.2819,1.1597,0.2819,0.2844
"29",2015-06-30,"956591",2992600,"2015-03-31",1700936,12214241,10513305,476,13,NA,NA,NA,NA,NA,NA,NA,1.4464,0.2846,1.1618,0.2846,0.2846
"30",2005-12-31,"957655",NA,NA,NA,NA,NA,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2006-12-31,"957655",3366360,"2006-12-31",-3509149,3740,3512889,39,0,4640928,36127,-4604801,3878710,-726091,0.7843,0.9093,0.9594,0.9583,0.0011,0.3366,0.9857
"32",2007-12-31,"957655",7245070,"2007-12-31",-8113950,39867,8153817,91,0,1145417,0,-1145417,-563710,-1709127,0.7641,0.7963,0.8934,0.8885,0.0049,0.7245,0.9111
"33",2008-12-31,"957655",6681360,"2008-12-31",-9259367,39867,9299234,144,0,-11008,-18961,-7953,2193800,2185847,1.3272,1.3277,0.7228,0.7185,0.0043,0.6681,0.7439
"34",2009-12-31,"957655",8875160,"2009-12-31",-9267320,20906,9288226,196,0,313509,1798484,1484975,2123320,3608295,1.4066,1.3927,0.9578,0.9555,0.0023,0.8875,0.9596
"35",2010-12-31,"957655",10998480,"2010-12-31",-7782345,1819390,9601735,248,0,92226,3011221,2918995,-3030570,-111575,0.9899,0.9899,1.335,1.1455,0.1895,1.0998,1.1366
"36",2011-12-31,"957655",7967910,"2011-12-31",-4863350,4830611,9693961,300,0,205250,3439269,3234019,-2066650,1167369,1.1465,1.1428,1.3203,0.8219,0.4983,0.7968,0.8311
"37",2012-12-31,"957655",5901260,"2012-12-31",-1629331,8269880,9899211,352,0,167174,650808,483634,-58230,425404,1.0721,1.0701,1.4315,0.5961,0.8354,0.5901,0.6089
"38",2013-12-31,"957655",5843030,"2013-12-31",-1145697,8920688,10066385,405,0,78110,431920,353810,-76910,276900,1.0474,1.0468,1.4666,0.5804,0.8862,0.5804,0.5869
"39",2014-12-31,"957655",5766120,"2014-12-31",-791887,9352608,10144495,457,0,77845,17825,-60020,64780,4760,1.0008,1.0008,1.4903,0.5684,0.9219,0.5684,0.5717
"40",2015-12-31,"957655",5830900,"2015-03-31",-851907,9370433,10222340,509,39,NA,NA,NA,NA,NA,NA,NA,1.4871,0.5704,0.9167,0.5704,0.5704
"41",2006-06-30,"959697",NA,NA,NA,NA,NA,-59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2007-06-30,"959697",NA,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2008-06-30,"959697",4680870,"2008-06-30",-4146844,0,4146844,46,0,171326,4662,-166664,-2127330,-2293994,0.5099,0.5272,1.1288,1.1288,0,0.4681,1.0539
"44",2009-06-30,"959697",2553540,"2009-06-30",-4313508,4662,4318170,98,0,700581,0,-700581,544290,-156291,0.9388,0.952,0.5924,0.5913,0.0011,0.2554,0.8219
"45",2010-06-30,"959697",3097830,"2010-06-30",-5014089,4662,5018751,150,0,3619342,340052,-3279290,7215340,3936050,2.2706,1.586,0.6182,0.6173,9e-04,0.3098,0.8061
"46",2011-06-30,"959697",10313170,"2011-06-30",-8293379,344714,8638093,202,0,675623,564778,-110845,1222790,1111945,1.1078,1.1012,1.2338,1.1939,0.0399,1.0313,1.1691
"47",2012-06-30,"959697",11535960,"2012-06-30",-8404224,909492,9313716,254,0,450287,1932621,1482334,950960,2433294,1.2109,1.203,1.3362,1.2386,0.0977,1.1536,1.2243
"48",2013-06-30,"959697",12486920,"2013-06-30",-6921890,2842113,9764003,307,0,117900,1371090,1253190,2583610,3836800,1.3073,1.3044,1.57,1.2789,0.2911,1.2487,1.2748
"49",2014-06-30,"959697",15070530,"2014-06-30",-5668700,4213203,9881903,359,0,26162,7448555,7422393,-6036900,1385493,1.0919,1.0918,1.9514,1.5251,0.4264,1.5071,1.5237
"50",2015-06-30,"959697",9033630,"2015-03-31",1753693,11661758,9908065,411,13,NA,NA,NA,NA,NA,NA,NA,2.0887,0.9117,1.177,0.9034,0.9117
"51",2009-06-30,"9518882",NA,NA,NA,NA,NA,-59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2010-06-30,"9518882",NA,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2011-06-30,"9518882",3156990,"2011-06-30",-3103690,15917,3119607,46,0,4158522,198884,-3959638,4857180,897542,1.2843,1.1227,1.0171,1.012,0.0051,0.3157,1.0041
"54",2012-06-30,"9518882",8014170,"2012-06-30",-7063328,214801,7278129,98,0,1597229,1894629,297400,1530280,1827680,1.2281,1.1902,1.1306,1.1011,0.0295,0.8014,1.0807
"55",2013-06-30,"9518882",9544450,"2013-06-30",-6765928,2109430,8875358,150,0,158142,2819118,2660976,-1433460,1227516,1.1286,1.1265,1.3131,1.0754,0.2377,0.9544,1.0734
"56",2014-06-30,"9518882",8110990,"2014-06-30",-4104952,4928548,9033500,202,0,86838,2819085,2732247,-1063900,1668347,1.2057,1.2035,1.4435,0.8979,0.5456,0.8111,0.8989
"57",2015-06-30,"9518882",7047090,"2015-03-31",-1372705,7747633,9120338,254,13,NA,NA,NA,NA,NA,NA,NA,1.6222,0.7727,0.8495,0.7047,0.7727
"58",2005-12-31,"959668",NA,NA,NA,NA,NA,-46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2006-12-31,"959668",2365300,"2006-12-31",-2365303,0,2365303,7,0,3184397,102300,-3082097,2838200,-243897,0.8969,0.9561,1,1,0,0.2365,1
"60",2007-12-31,"959668",5203500,"2007-12-31",-5447400,102300,5549700,59,0,1819583,240570,-1579013,-428790,-2007803,0.6141,0.7141,0.9561,0.9376,0.0184,0.5204,0.9641
"61",2008-12-31,"959668",4774710,"2008-12-31",-7026413,342870,7369283,111,0,2274536,-104127,-2378663,-2504630,-4883293,-0.0227,0.3073,0.6944,0.6479,0.0465,0.4775,0.731
"62",2009-12-31,"959668",2270080,"2009-12-31",-9405076,238743,9643819,163,0,0,695507,695507,-520040,175467,1.0773,1.0773,0.2601,0.2354,0.0248,0.227,0.2354
"63",2010-12-31,"959668",1750040,"2010-12-31",-8709569,934250,9643819,215,0,1,-86242,-86243,373750,287507,1.1643,1.1643,0.2783,0.1815,0.0969,0.175,0.1815
"64",2011-12-31,"959668",2123790,"2011-12-31",-8795812,848008,9643820,267,0,0,996348,996348,-286290,710058,1.3343,1.3343,0.3082,0.2202,0.0879,0.2124,0.2202
"65",2012-12-31,"959668",1837500,"2012-12-31",-7799464,1844356,9643820,320,0,39,1578089,1578050,-601630,976420,1.5314,1.5314,0.3818,0.1905,0.1912,0.1838,0.1905
"66",2013-12-31,"959668",1235870,"2013-12-31",-6221414,3422445,9643859,372,0,0,459676,459676,-235660,224016,1.1813,1.1813,0.483,0.1282,0.3549,0.1236,0.1282
"67",2014-12-31,"959668",1000210,"2014-12-31",-5761738,3882121,9643859,424,0,0,0,0,0,0,1,1,0.5063,0.1037,0.4025,0.1,0.1037
"68",2015-12-31,"959668",1000210,"2014-12-31",-5761738,3882121,9643859,476,52,NA,NA,NA,NA,NA,NA,NA,0.5063,0.1037,0.4025,0.1,0.1037
"69",1998-06-30,"952017",NA,NA,NA,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",1999-06-30,"952017",NA,NA,NA,NA,NA,-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2000-06-30,"952017",81830,"2000-05-31",-81831,0,81831,29,4,559141,0,-559141,261350,-297791,-2.6391,0.5354,1,1,0,0.0082,1
"72",2001-06-30,"952017",343180,"2001-05-31",-640972,0,640972,81,4,2203914,0,-2203914,1566540,-637374,-0.8573,0.7498,0.5354,0.5354,0,0.0343,0.9479
"73",2002-06-30,"952017",1909720,"2002-05-31",-2844886,0,2844886,133,4,2634968,0,-2634968,2765180,130212,1.0682,1.0287,0.6713,0.6713,0,0.191,0.8365
"74",2003-06-30,"952017",4674900,"2003-05-31",-5479854,0,5479854,186,4,0,1896972,1896972,2009020,3905992,1.8355,1.8355,0.8531,0.8531,0,0.4675,0.8593
"75",2004-06-30,"952017",6683920,"2004-05-31",-3582882,1896972,5479854,238,4,0,0,0,-4095000,-4095000,0.3873,0.3873,1.5659,1.2197,0.3462,0.6684,1.2105
"76",2005-06-30,"952017",2588920,"2005-05-31",-3582882,1896972,5479854,290,4,237954,3557780,3319826,3157540,6477366,3.502,3.2914,0.8186,0.4724,0.3462,0.2589,0.4946
"77",2006-06-30,"952017",5746460,"2006-02-28",-263056,5454752,5717808,342,17,0,7945271,7945271,-4399720,3545551,1.617,1.617,1.959,1.005,0.954,0.5746,1.005
