"","Date","Fund.ID","NAV","NAV.date","NCF","CD","CC","Age.week","NAV.date.diff","delta.CC","delta.CD","delta.NCF","delta.NAV","delta.NAV.NCF","Return.NAV","Return.EVB","TVPI","RVPI","CD2CC","NAV2Com","Fuel.Level"
"1",2005-12-31,"957458",NA,NA,NA,NA,NA,-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2006-12-31,"957458",89420,"2006-09-30",-708428,0,708428,13,13,3065624,0,-3065624,3524210,458586,6.1285,1.1454,0.1262,0.1262,0,0.0089,0.9375
"3",2007-12-31,"957458",3613630,"2007-12-31",-3774052,0,3774052,65,0,2724796,0,-2724796,2033730,-691066,0.8088,0.891,0.9575,0.9575,0,0.3614,0.9838
"4",2008-12-31,"957458",5647360,"2008-12-31",-6498848,0,6498848,118,0,822480,0,-822480,2343000,1520520,1.2692,1.235,0.869,0.869,0,0.5647,0.914
"5",2009-12-31,"957458",7990360,"2009-12-31",-7321328,0,7321328,170,0,650000,0,-650000,1580280,930280,1.1164,1.1077,1.0914,1.0914,0,0.799,1.0676
"6",2010-12-31,"957458",9570640,"2010-12-31",-7971328,0,7971328,222,0,1050000,1200000,150000,1229570,1379570,1.1441,1.1299,1.2006,1.2006,0,0.9571,1.1615
"7",2011-12-31,"957458",10800210,"2011-12-31",-7821328,1200000,9021328,274,0,375000,363636,-11364,2865710,2854346,1.2643,1.2554,1.3302,1.1972,0.133,1.08,1.1797
"8",2012-12-31,"957458",13665920,"2012-12-31",-7832692,1563636,9396328,326,0,199674,5709030,5509356,-4357920,1151436,1.0843,1.083,1.6208,1.4544,0.1664,1.3666,1.4312
"9",2013-12-31,"957458",9308000,"2013-12-31",-2323336,7272666,9596002,378,0,304667,1640667,1336000,4193330,5529330,1.594,1.5752,1.7279,0.97,0.7579,0.9308,0.9709
"10",2014-12-31,"957458",13501330,"2014-12-31",-987336,8913333,9900669,431,0,210,1418483,1418273,-2537190,-1118917,0.9171,0.9171,2.264,1.3637,0.9003,1.3501,1.3637
"11",2015-12-31,"957458",10964140,"2015-03-31",430937,10331816,9900879,483,39,NA,NA,NA,NA,NA,NA,NA,2.1509,1.1074,1.0435,1.0964,1.1074
"12",2013-06-30,"9544701",NA,NA,NA,NA,NA,-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2014-06-30,"9544701",37500,"2014-06-30",-50000,0,50000,13,0,709375,0,-709375,662030,-47345,-0.2625,0.9366,0.75,0.75,0,0.0038,0.9835
"14",2015-06-30,"9544701",699530,"2015-03-31",-759375,0,759375,65,13,NA,NA,NA,NA,NA,NA,NA,0.9212,0.9212,0,0.07,0.9212
"15",2010-06-30,"9518095",NA,NA,NA,NA,NA,-46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2011-06-30,"9518095",74610,"2011-06-30",-99418,0,99418,6,0,1598565,0,-1598565,1532970,-65595,0.1208,0.9608,0.7505,0.7505,0,0.0075,0.9959
"17",2012-06-30,"9518095",1607580,"2012-06-30",-1697983,0,1697983,59,0,2219914,79216,-2140698,2250530,109832,1.0683,1.0287,0.9468,0.9468,0,0.1608,0.9851
"18",2013-06-30,"9518095",3858110,"2013-06-30",-3838681,79216,3917897,111,0,1148722,319030,-829692,2124940,1295248,1.3357,1.2587,1.005,0.9847,0.0202,0.3858,0.9902
