"";"Date";"NAV";"NCF";"CD";"CC";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return";"TVPI";"NAV2CC";"CD2CC";"NAV2minus.NCF"
"1";1999-12-31;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
"2";2000-12-31;0;-214032;0;214032;-214032;0;-214032;-Inf;0;0;0;0
"3";2001-12-31;2297600;-2367625;0;2367625;-2153593;2297600;144007;Inf;0,9704;0,9704;0;0,9704
"4";2002-12-31;1670430;-1161053;1135618;2296671;1206572;-627170;579402;1,2522;1,2218;0,7273;0,4945;1,4387
"5";2003-12-31;6805660;-3759492;1184898;4944390;-2598439;5135230;2536791;2,5186;1,6161;1,3764;0,2396;1,8103
"6";2004-12-31;7777950;-3870338;4825943;8696281;-110846;972290;861444;1,1266;1,4493;0,8944;0,5549;2,0096
"7";2005-12-31;7390460;-2336369;6393841;8730210;1533969;-387490;1146479;1,1474;1,5789;0,8465;0,7324;3,1632
"8";2006-12-31;5343390;-128707;8999915;9128622;2207662;-2047070;160592;1,0217;1,5712;0,5853;0,9859;41,5159
"9";2007-12-31;5030180;-11926;9144605;9156531;116781;-313210;-196429;0,9632;1,5481;0,5494;0,9987;421,7827
"10";2008-12-31;3445340;806028;10024315;9218287;817954;-1584840;-766886;0,8475;1,4612;0,3738;1,0874;-4,2745
"11";2009-12-31;3219850;1260494;10528860;9268366;454466;-225490;228976;1,0665;1,4834;0,3474;1,136;-2,5544
"12";2010-12-31;3188990;1275354;10726693;9451339;14860;-30860;-16000;0,995;1,4724;0,3374;1,1349;-2,5005
"13";2011-12-31;1295550;3423497;12877013;9453516;2148143;-1893440;254703;1,0799;1,4992;0,137;1,3621;-0,3784
"14";2012-12-31;1055530;3632666;13086182;9453516;209169;-240020;-30851;0,9762;1,4959;0,1117;1,3843;-0,2906
"15";2013-12-31;1057310;3632666;13086182;9453516;0;1780;1780;1,0017;1,4961;0,1118;1,3843;-0,2911
"16";2014-12-31;265440;4471566;13929945;9458379;838900;-791870;47030;1,0445;1,5008;0,0281;1,4728;-0,0594
"17";2015-12-31;265440;4471566;13929945;9458379;0;0;0;1;1,5008;0,0281;1,4728;-0,0594
