"","AD","FD","Pri.NAV.scaled","Pri.Com.scaled","w1","sum.w1","w2","sum.w2","AMT","FID"
"1","2000-03-31","2001-04-01",0.886817218740508,0.98815259498465,"0.7-0.7-1.1-0.1-0.2-0.8-0.2-2.3-0-18.3",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-DD-MEZZ-VC-BO-MEZZ-MEZZ-DD-VC-VC","950960-951244-951705-951084-95434-951315-951443-956897-951972-951254"
"2","2013-03-31","2014-04-01",1.12288217038613,1.15217844370242,"1.6-3-0.8-1.4-0.2-0.6-0.3-1.9-1-0.5",6.78746911310764,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-Infrastructure-RE-VC-BO-RE-RE-Infrastructure-VC-VC","9523103-9519601-9519587-9517682-959260-958464-957981-957034-955478-952120"
"3","2005-03-31","2006-04-01",1.16534916257418,1.26159370301838,"4.1-2-1.3-3.9-0.6-0.8-0.2-74-2.1-1.8",11.7046711622233,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-MEZZ-VC-BO-NatRes-MEZZ-RE-VC-BO","951019-954552-951841-951015-95691-95602-95240-954112-951508-951804"
"4","2004-03-31","2005-04-01",1.06488801973806,1.14039256558168,"1.1-1.3-4.4-9.2-0.4-0.8-0.2-2.9-2.4-3.2",9.9106849490255,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-FOF-VC-BO-NatRes-Infrastructure-RE-VC-NatRes","951912-951060-95788-953675-951768-95602-94967-956269-95196-95133"
"5","2009-09-30","2010-10-01",1.06594624768245,1.07057589000715,"0.8-2.3-0.8-1.4-0.5-1.6-0.1-2.5-0.7-3.2",7.51752085060303,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-raus-DD-VC-BO-SEC-SEC-FOF-VC-BO","9510591-9510755-956721-954717-955268-951361-952255-95787-94984-95428"
"6","2003-03-31","2004-03-31",NA,NA,"159.7-19.5-NA-7.7-0.4-1.3-0.2-4.1-1.6-0.3",NA,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-NatRes-DD-VC-BO-MEZZ-DD-MEZZ-VC-NatRes","952506-952016-951248-951174-95003-951623-951244-950940-95196-956127"
"7","1998-09-30","1999-10-01",2.13039543840926,2.37001203301969,"0.5-1.3-1.4-0.6-91.9-0.4-0-559.8-18.7-0.4",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-MEZZ-VC-BO-NatRes-DD-VC-BO-BO","952087-954112-951443-950975-951057-95600-956173-951408-951985-95629"
"8","2014-06-30","2015-07-01",1.08199973817899,1.03738567388435,"0.5-2.7-2.6-1.3-0.7-0.7-0.3-1.5-0.4-0",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-Infrastructure-FOF-VC-BO-DD-DD-FOF-VC-BO","9522665-9537950-9518131-9522074-9511008-957882-958229-9509858-957501-950912"
"9","2002-03-31","2003-04-01",0.978600650121193,1.04152492884794,"0.4-3.1-4.6-3-0.3-0.9-0.3-4.4-6.2-35.6",14.0641670306714,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-FOF-VC-BO-DD-MEZZ-SEC-VC-BO","95344-95166-950986-95235-951832-951243-951443-951003-950974-951985"
"10","2011-12-31","2012-12-31",1.03728495091877,1.13489273146817,"0.4-0.8-1.3-1.5-0.3-1.6-0.2-5.1-0.9-0",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-DD-MEZZ-VC-BO-RE-RE-raus-VC-VC","9521688-9517903-9513471-9511039-9514473-956716-957148-953477-953895-94982"
"11","2002-06-30","2003-07-01",NA,NA,"NA-2.4-1.6-66-0.3-1.1-0.3-86.5-2.7-14.5",NA,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-RE-VC-BO-MEZZ-DD-RE-VC-VC","952234-951841-951928-951655-95140-952013-951415-951903-94994-951634"
