"";"Date";"NAV";"NCF";"CD";"CC";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return";"TVPI";"NAV2CC";"CD2CC";"NAV2minus.NCF";"Fuel.Level"
"1";1993-12-31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";1994-12-31;735810;-735813;0;735813;NA;NA;NA;NA;1;1;0;1;1
"3";1995-12-31;3819910;-1152860;0;1152860;-417047;3084100;2667053;4,6246;3,3134;3,3134;0;3,3134;3,1336
"4";1996-12-31;0;2245352;3398212;1152860;3398212;-3819910;-421698;0,8896;2,9476;0;2,9476;0;0,0777
"5";1997-12-31;0;2245308;3398168;1152860;-44;0;-44;-Inf;2,9476;0;2,9476;0;0,0777
"6";1998-12-31;0;2245352;3398212;1152860;44;0;44;Inf;2,9476;0;2,9476;0;0,0777
"7";1999-12-31;0;2245352;3398212;1152860;0;0;0;NA;2,9476;0;2,9476;0;0,0777
"8";2000-12-31;0;2245352;3398212;1152860;0;0;0;NA;2,9476;0;2,9476;0;0,0777
"9";2001-12-31;0;2249190;3402050;1152860;3838;0;3838;Inf;2,951;0;2,951;0;0,0777
"10";2002-12-31;0;2249190;3402050;1152860;0;0;0;NA;2,951;0;2,951;0;0,0777
"11";2003-12-31;0;2249190;3402050;1152860;0;0;0;NA;2,951;0;2,951;0;0,0777
"12";2004-12-31;0;2244999;3495000;1250001;-4191;0;-4191;-Inf;2,796;0;2,796;0;0
"13";2005-12-31;0;2244999;3495000;1250001;0;0;0;NA;2,796;0;2,796;0;0
"14";2006-12-31;0;2244999;3495000;1250001;0;0;0;NA;2,796;0;2,796;0;0
"15";2007-12-31;0;2244999;3495000;1250001;0;0;0;NA;2,796;0;2,796;0;0
"16";2008-12-31;0;2244999;3495000;1250001;0;0;0;NA;2,796;0;2,796;0;0
"17";2009-12-31;0;2244999;3495000;1250001;0;0;0;NA;2,796;0;2,796;0;0
"18";2010-12-31;0;2244999;3495000;1250001;0;0;0;NA;2,796;0;2,796;0;0
"19";2011-12-31;0;2244999;3495000;1250001;0;0;0;NA;2,796;0;2,796;0;0
"20";2012-12-31;0;2244999;3495000;1250001;0;0;0;NA;2,796;0;2,796;0;0
"21";2013-12-31;0;2244999;3495000;1250001;0;0;0;NA;2,796;0;2,796;0;0
"22";2014-12-31;0;2244999;3495000;1250001;0;0;0;NA;2,796;0;2,796;0;0
"23";2015-12-31;0;2244999;3495000;1250001;0;0;0;NA;2,796;0;2,796;0;0
