"","Date","Fund.ID","NAV","NAV.date","NCF","CD","CC","Age.week","NAV.date.diff","delta.CC","delta.CD","delta.NCF","delta.NAV","delta.NAV.NCF","Return.NAV","Return.EVB","TVPI","RVPI","CD2CC","NAV2Com","Fuel.Level"
"1",2012-12-31,"9540432",NA,NA,NA,NA,NA,-52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2013-12-31,"9540432",1140000,"2013-12-31",-1000000,0,1000000,0,0,3250000,0,-3250000,3620000,370000,1.3246,1.0843,1.14,1.14,0,0.114,1.0224
"3",2014-12-31,"9540432",4760000,"2014-12-31",-4250000,0,4250000,52,0,2000000,0,-2000000,2315000,315000,1.0662,1.0466,1.12,1.12,0,0.476,1.0816
"4",2015-12-31,"9540432",7075000,"2015-06-30",-6250000,0,6250000,104,26,NA,NA,NA,NA,NA,NA,NA,1.132,1.132,0,0.7075,1.132
"5",1991-12-31,"951442",NA,NA,NA,NA,NA,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1992-12-31,"951442",2311230,"1992-12-31",-2575597,0,2575597,36,0,2934333,676156,-2258177,2154370,-103807,0.9551,0.9802,0.8974,0.8974,0,0.2311,0.9726
"7",1993-12-31,"951442",4465600,"1993-12-31",-4833774,676156,5509930,89,0,3937174,2207440,-1729734,3425250,1695516,1.3797,1.2018,0.9332,0.8105,0.1227,0.4466,0.8919
"8",1994-12-31,"951442",7890850,"1994-12-31",-6563508,2883596,9447104,141,0,159790,1217919,1058129,67330,1125459,1.1426,1.1398,1.1405,0.8353,0.3052,0.7891,0.8389
"9",1995-12-31,"951442",7958180,"1995-12-31",-5505379,4101515,9606894,193,0,0,5297783,5297783,-3346340,1951443,1.2452,1.2452,1.2553,0.8284,0.4269,0.7958,0.8293
"10",1996-12-31,"951442",4611840,"1996-12-31",-207596,9399298,9606894,245,0,55259,1998566,1943307,9668510,11611817,3.5178,3.488,1.4584,0.4801,0.9784,0.4612,0.4829
"11",1997-12-31,"951442",14280350,"1997-12-31",1735711,11397864,9662153,297,0,0,1426956,1426956,-11644020,-10217064,0.2845,0.2845,2.6576,1.478,1.1796,1.428,1.4781
"12",1998-12-31,"951442",2636330,"1998-12-31",3162667,12824820,9662153,349,0,0,82401,82401,37280,119681,1.0454,1.0454,1.6002,0.2729,1.3273,0.2636,0.2727
"13",1999-12-31,"951442",2673610,"1999-12-31",3245068,12907221,9662153,402,0,0,0,0,0,0,1,1,1.6126,0.2767,1.3359,0.2674,0.2765
"14",2000-12-31,"951442",2673610,"1999-12-31",3245068,12907221,9662153,454,52,0,0,0,0,0,1,1,1.6126,0.2767,1.3359,0.2674,0.2765
"15",2001-12-31,"951442",2673610,"1999-12-31",3245068,12907221,9662153,506,104,0,0,0,-2509210,-2509210,0.0615,0.0615,1.6126,0.2767,1.3359,0.2674,0.2765
"16",2002-12-31,"951442",164400,"2002-12-31",3245068,12907221,9662153,558,0,0,0,0,-164400,-164400,0,0,1.3529,0.017,1.3359,0.0164,0.0168
"17",2003-12-31,"951442",0,"2003-12-31",3245068,12907221,9662153,610,0,0,0,0,0,0,NA,NA,1.3359,0,1.3359,0,-2e-04
"18",2004-12-31,"951442",0,"2004-12-31",3245068,12907221,9662153,663,0,-2154,-1460,694,0,694,Inf,0.6778,1.3359,0,1.3359,0,-2e-04
"19",2005-12-31,"951442",0,"2004-12-31",3245762,12905761,9659999,715,52,NA,NA,NA,NA,NA,NA,NA,1.336,0,1.336,0,0
"20",2013-12-31,"9536683",NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2014-12-31,"9536683",4051160,"2014-12-31",-4328169,0,4328169,46,0,61831,0,-61831,112310,50479,1.0125,1.0123,0.936,0.936,0,0.4051,0.9369
"22",2015-12-31,"9536683",4163470,"2015-06-30",-4390000,0,4390000,98,26,NA,NA,NA,NA,NA,NA,NA,0.9484,0.9484,0,0.4163,0.9484
"23",2014-12-31,"9543624",NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
