"";"Date";"NAV";"NCF";"CD";"CC";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return";"TVPI";"NAV2CC";"CD2CC";"NAV2minus.NCF";"Fuel.Level"
"1";1997-12-31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";1998-12-31;NA;-1515151;0;1515151;NA;NA;NA;NA;NA;NA;0;NA;NA
"3";1999-12-31;NA;-7500000;0;7500000;-5984849;NA;NA;NA;NA;NA;0;NA;NA
"4";2000-12-31;11073280;-2830618;6169382;9000000;4669382;NA;NA;NA;1,9159;1,2304;0,6855;3,912;1,2073
"5";2001-12-31;9705110;-2455398;7044602;9500000;375220;-1368170;-992950;0,9103;1,7631;1,0216;0,7415;3,9526;1,0205
"6";2002-12-31;3657230;-2455398;7044602;9500000;0;-6047880;-6047880;0,3768;1,1265;0,385;0,7415;1,4895;0,4157
"7";2003-12-31;3144870;-2455398;7044602;9500000;0;-512360;-512360;0,8599;1,0726;0,331;0,7415;1,2808;0,3645
"8";2004-12-31;5428360;-2455398;7044602;9500000;0;2283490;2283490;1,7261;1,3129;0,5714;0,7415;2,2108;0,5928
"9";2005-12-31;5184410;-2956090;7043910;10000000;-500692;-243950;-744642;0,8628;1,2228;0,5184;0,7044;1,7538;0,5184
"10";2006-12-31;4688960;-551355;9448645;10000000;2404735;-495450;1909285;1,3683;1,4138;0,4689;0,9449;8,5044;0,4689
"11";2007-12-31;4571890;-551355;9448645;10000000;0;-117070;-117070;0,975;1,4021;0,4572;0,9449;8,2921;0,4572
"12";2008-12-31;4571890;2346961;12346961;10000000;2898316;0;2898316;1,6339;1,6919;0,4572;1,2347;-1,948;0,4572
"13";2009-12-31;1515580;2346961;12346961;10000000;0;-3056310;-3056310;0,3315;1,3863;0,1516;1,2347;-0,6458;0,1516
"14";2010-12-31;1110100;2346961;12346961;10000000;0;-405480;-405480;0,7325;1,3457;0,111;1,2347;-0,473;0,111
"15";2011-12-31;1302830;2346961;12346961;10000000;0;192730;192730;1,1736;1,365;0,1303;1,2347;-0,5551;0,1303
"16";2012-12-31;1571700;2346961;12346961;10000000;0;268870;268870;1,2064;1,3919;0,1572;1,2347;-0,6697;0,1572
"17";2013-12-31;405300;4462345;14462345;10000000;2115384;-1166400;948984;1,6038;1,4868;0,0405;1,4462;-0,0908;0,0405
"18";2014-12-31;0;4462000;14462000;10000000;-345;-405300;-405645;-9e-04;1,4462;0;1,4462;0;0
"19";2015-12-31;0;4462000;14462000;10000000;0;0;0;NA;1,4462;0;1,4462;0;0
"20";2016-12-31;0;4462000;14462000;10000000;0;0;0;NA;1,4462;0;1,4462;0;0
