"";"Date";"NAV";"NCF";"CD";"CC";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return";"TVPI";"NAV2CC";"CD2CC";"NAV2minus.NCF"
"1";2004-12-31;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
"2";2005-12-31;0;0;0;0;0;0;0;NA;NA;NA;NA;NA
"3";2006-12-31;3249900;-3275908;0;3275908;-3275908;3249900;-26008;-Inf;0,992060827105035;0,992060827105035;0;0,992060827105035
"4";2007-12-31;4380870;-3652897;805978;4458875;-376989;1130970;753981;1,23200129234746;1,16326382775924;0,982505676880379;0,180758150878865;1,19928648412479
"5";2008-12-31;6216250;-5792215;498793;6291008;-2139318;1835380;-303938;0,930621543209454;1,06740334776239;0,988116689726034;0,0792866580363592;1,07320774522355
"6";2009-12-31;8435910;-6157789;498793;6656582;-365574;2219660;1854086;1,29826438769355;1,34223585017055;1,26730355008021;0,0749323000903467;1,36995762602454
"7";2010-12-31;7038650;-5195418;3007133;8202551;962371;-1397260;-434889;0,948447885290384;1,2247144821166;0,858104996847932;0,366609485268668;1,35478030834093
"8";2011-12-31;7109970;-5498322;3012156;8510478;-302904;71320;-231584;0,967098236167447;1,18937220682552;0,835437210459859;0,353934996365657;1,2931163362204
"9";2012-12-31;5832240;-3237627;5578212;8815839;2260695;-1277730;982965;1,13825163819257;1,29431265702561;0,661563805781843;0,632748851243767;1,80139342796437
"10";2013-12-31;815920;2256803;10936801;8679998;5494430;-5016320;478110;1,08197707913255;1,35400042718904;0,0940000216589912;1,26000040553005;-0,361537980940295
"11";2014-12-31;8690;3336963;12026961;8689998;1080160;-807230;272930;1,33450583390528;1,38500043383209;0,00100000023014965;1,38400043360194;-0,002604164325466
"12";2015-12-31;0;3336963;12026961;8689998;0;-8690;-8690;0;1,38400043360194;0;1,38400043360194;0
