"","Date","Fund.ID","NAV","NAV.date","NCF","CD","CC","Age.week","NAV.date.diff","delta.CC","delta.CD","delta.NCF","delta.NAV","delta.NAV.NCF","Return.NAV","Return.EVB","TVPI","RVPI","CD2CC","NAV2Com","Fuel.Level"
"1",2009-12-31,"9516627",NA,NA,NA,NA,NA,-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2010-12-31,"9516627",88130,"2010-12-31",-350441,0,350441,26,0,353222,0,-353222,301130,-52092,0.4089,0.882,0.2515,0.2515,0,0.0088,0.9455
"3",2011-12-31,"9516627",389260,"2011-12-31",-703663,0,703663,78,0,471834,1662,-470172,111500,-358672,0.0786,0.5835,0.5532,0.5532,0,0.0389,0.9346
"4",2012-12-31,"9516627",500760,"2012-12-31",-1173835,1662,1175497,131,0,915108,0,-915108,2314400,1399292,3.7943,1.9883,0.4274,0.426,0.0014,0.0501,0.8597
"5",2013-12-31,"9516627",2815160,"2013-12-31",-2088943,1662,2090605,183,0,2718851,307563,-2411288,2193170,-218118,0.9225,0.9606,1.3474,1.3466,8e-04,0.2815,1.1507
"6",2014-12-31,"9516627",5008330,"2014-12-31",-4500231,309225,4809456,235,0,0,0,0,0,0,1,1,1.1056,1.0414,0.0643,0.5008,1.0414
"7",2015-12-31,"9516627",5008330,"2014-12-31",-4500231,309225,4809456,287,52,NA,NA,NA,NA,NA,NA,NA,1.1056,1.0414,0.0643,0.5008,1.0414
"8",2005-12-31,"957058",NA,NA,NA,NA,NA,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2006-12-31,"957058",2185170,"2006-12-31",-2478434,0,2478434,39,0,2522146,0,-2522146,4076140,1553994,1.7112,1.3301,0.8817,0.8817,0,0.2185,0.9686
"10",2007-12-31,"957058",6261310,"2007-12-31",-5000580,0,5000580,91,0,2188771,0,-2188771,1239550,-949221,0.8484,0.8877,1.2521,1.2521,0,0.6261,1.1348
"11",2008-12-31,"957058",7500860,"2008-12-31",-7189351,0,7189351,144,0,595510,0,-595510,820010,224500,1.0299,1.0277,1.0433,1.0433,0,0.7501,1.0333
"12",2009-12-31,"957058",8320870,"2009-12-31",-7784861,0,7784861,196,0,1152115,28719,-1123396,1853800,730404,1.0878,1.0771,1.0689,1.0689,0,0.8321,1.0573
"13",2010-12-31,"957058",10174670,"2010-12-31",-8908257,28719,8936976,248,0,300282,467523,167241,-4664870,-4497629,0.558,0.5706,1.1417,1.1385,0.0032,1.0175,1.1324
"14",2011-12-31,"957058",5509800,"2011-12-31",-8741016,496242,9237258,300,0,113037,0,-113037,-800540,-913577,0.8342,0.8375,0.6502,0.5965,0.0537,0.551,0.6014
"15",2012-12-31,"957058",4709260,"2012-06-30",-8854053,496242,9350295,352,26,0,0,0,0,0,1,1,0.5567,0.5036,0.0531,0.4709,0.5036
"16",2013-12-31,"957058",4709260,"2012-06-30",-8854053,496242,9350295,405,78,0,0,0,0,0,1,1,0.5567,0.5036,0.0531,0.4709,0.5036
"17",2014-12-31,"957058",4709260,"2012-06-30",-8854053,496242,9350295,457,131,0,0,0,0,0,1,1,0.5567,0.5036,0.0531,0.4709,0.5036
"18",2015-12-31,"957058",4709260,"2012-06-30",-8854053,496242,9350295,509,183,NA,NA,NA,NA,NA,NA,NA,0.5567,0.5036,0.0531,0.4709,0.5036
"19",1999-06-30,"951695",NA,NA,NA,NA,NA,-68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2000-06-30,"951695",NA,NA,NA,NA,NA,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2001-06-30,"951695",1086820,"2001-06-30",-1439367,0,1439367,37,0,0,0,0,41290,41290,1.038,1.038,0.7551,0.7551,0,0.1087,0.9649
"22",2002-06-30,"951695",1128110,"2002-06-30",-1439367,0,1439367,89,0,2000001,0,-2000001,1351440,-648561,0.4251,0.7927,0.7838,0.7838,0,0.1128,0.969
"23",2003-06-30,"951695",2479550,"2003-06-30",-3439368,0,3439368,141,0,2000000,349021,-1650979,1879020,228041,1.092,1.0509,0.7209,0.7209,0,0.248,0.9044
"24",2004-06-30,"951695",4358570,"2004-06-30",-5090347,349021,5439368,193,0,1000000,495369,-504631,726280,221649,1.0509,1.0414,0.8655,0.8013,0.0642,0.4359,0.8923
"25",2005-06-30,"951695",5084850,"2005-06-30",-5594978,844390,6439368,245,0,677335,1645797,968462,-15630,952832,1.1874,1.1654,0.9208,0.7897,0.1311,0.5085,0.865
"26",2006-06-30,"951695",5069220,"2006-06-30",-4626516,2490187,7116703,298,0,900000,322932,-577068,504910,-72158,0.9858,0.9879,1.0622,0.7123,0.3499,0.5069,0.796
"27",2007-06-30,"951695",5574130,"2007-06-30",-5203584,2813119,8016703,350,0,800000,2491128,1691128,-28840,1662288,1.2982,1.2608,1.0462,0.6953,0.3509,0.5574,0.7566
"28",2008-06-30,"951695",5545290,"2008-06-30",-3512456,5304247,8816703,402,0,200000,371891,171891,-408370,-236479,0.9574,0.9588,1.2306,0.629,0.6016,0.5545,0.6741
"29",2009-06-30,"951695",5136920,"2009-06-30",-3340565,5676138,9016703,454,0,400000,972894,572894,244010,816904,1.159,1.1475,1.1992,0.5697,0.6295,0.5137,0.6134
"30",2010-06-30,"951695",5380930,"2010-06-30",-2767671,6649032,9416703,506,0,200000,577915,377915,-618210,-240295,0.9553,0.9569,1.2775,0.5714,0.7061,0.5381,0.5979
"31",2011-06-30,"951695",4762720,"2011-06-30",-2389756,7226947,9616703,558,0,300000,0,-300000,1190740,890740,1.187,1.1759,1.2468,0.4953,0.7515,0.4763,0.5164
"32",2012-06-30,"951695",5953460,"2012-06-30",-2689756,7226947,9916703,611,0,0,1569043,1569043,-43780,1525263,1.2562,1.2562,1.3291,0.6003,0.7288,0.5953,0.6051
"33",2013-06-30,"951695",5909680,"2013-06-30",-1120713,8795990,9916703,663,0,120178,418350,298172,1756120,2054292,1.3476,1.3407,1.4829,0.5959,0.887,0.591,0.6008
"34",2014-06-30,"951695",7665800,"2014-06-30",-822541,9214340,10036881,715,0,0,3420653,3420653,-1407160,2013493,1.2627,1.2627,1.6818,0.7638,0.918,0.7638,0.7638
"35",2015-06-30,"951695",6258640,"2015-03-31",2598112,12634993,10036881,767,13,NA,NA,NA,NA,NA,NA,NA,1.8824,0.6236,1.2589,0.6236,0.6236
"36",2010-12-31,"9515555",NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2011-12-31,"9515555",141140,"2011-11-30",-405358,0,405358,50,4,1648349,9016,-1639333,1396690,-242643,-0.7192,0.8644,0.3482,0.3482,0,0.0141,0.9696
"38",2012-12-31,"9515555",1537830,"2012-11-30",-2044691,9016,2053707,102,4,2625024,114269,-2510755,2704340,193585,1.1259,1.0465,0.7532,0.7488,0.0044,0.1538,0.9405
"39",2013-12-31,"9515555",4242170,"2013-11-30",-4555446,123285,4678731,155,4,1998171,1135902,-862269,2061000,1198731,1.2826,1.1921,0.933,0.9067,0.0264,0.4242,0.9497
"40",2014-12-31,"9515555",6303170,"2014-11-30",-5417715,1259187,6676902,207,4,2000242,1907130,-93112,-1004730,-1097842,0.8258,0.8678,1.1326,0.944,0.1886,0.6303,0.9569
"41",2015-12-31,"9515555",5298440,"2015-05-31",-5510827,3166317,8677144,259,31,NA,NA,NA,NA,NA,NA,NA,0.9755,0.6106,0.3649,0.5298,0.6106
"42",2004-06-30,"955003",NA,NA,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2005-06-30,"955003",NA,NA,NA,NA,NA,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2006-06-30,"955003",1163740,"2006-06-30",-1312243,0,1312243,32,0,1887273,0,-1887273,2110230,222957,1.1916,1.0731,0.8868,0.8868,0,0.1164,0.9867
"45",2007-06-30,"955003",3273970,"2007-06-30",-3199516,0,3199516,85,0,1460936,0,-1460936,1919070,458134,1.1399,1.0968,1.0233,1.0233,0,0.3274,1.0067
"46",2008-06-30,"955003",5193040,"2008-06-30",-4660452,0,4660452,137,0,1563988,0,-1563988,487920,-1076068,0.7928,0.8407,1.1143,1.1143,0,0.5193,1.0478
"47",2009-06-30,"955003",5680960,"2009-06-30",-6224440,0,6224440,189,0,1387628,0,-1387628,648770,-738858,0.8699,0.8955,0.9127,0.9127,0,0.5681,0.9512
"48",2010-06-30,"955003",6329730,"2010-06-30",-7612068,0,7612068,241,0,1377588,4328587,2950999,369780,3320779,1.5246,1.4309,0.8315,0.8315,0,0.633,0.8849
"49",2011-06-30,"955003",6699510,"2011-06-30",-4661069,4328587,8989656,293,0,714023,1030679,316656,-583320,-266664,0.9602,0.964,1.2268,0.7452,0.4815,0.67,0.7944
"50",2012-06-30,"955003",6116190,"2012-06-30",-4344413,5359266,9703679,346,0,835440,720612,-114828,1175610,1060782,1.1734,1.1526,1.1826,0.6303,0.5523,0.6116,0.6779
"51",2013-06-30,"955003",7291800,"2013-06-30",-4459241,6079878,10539119,398,0,403098,2846729,2443631,-434420,2009211,1.2755,1.2611,1.2688,0.6919,0.5769,0.6919,0.7084
"52",2014-06-30,"955003",6857380,"2014-06-30",-2015610,8926607,10942217,450,0,195293,2084697,1889404,-2608540,-719136,0.8951,0.898,1.4425,0.6267,0.8158,0.6267,0.6332
"53",2015-06-30,"955003",4248840,"2015-03-31",-126206,11011304,11137510,502,13,NA,NA,NA,NA,NA,NA,NA,1.3702,0.3815,0.9887,0.3815,0.3815
"54",2008-12-31,"9514804",NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2009-12-31,"9514804",2047750,"2009-12-31",-1784821,179,1785000,46,0,1395000,17630,-1377370,938270,-439100,0.7856,0.8725,1.1473,1.1472,1e-04,0.2048,1.0379
"56",2010-12-31,"9514804",2986020,"2010-12-31",-3162191,17809,3180000,98,0,1190000,50801,-1139199,1117410,-21789,0.9927,0.9948,0.9446,0.939,0.0056,0.2986,0.9721
"57",2011-12-31,"9514804",4103430,"2011-12-31",-4301390,68610,4370000,150,0,868000,18866,-849134,908810,59676,1.0145,1.012,0.9547,0.939,0.0157,0.4103,0.9616
"58",2012-12-31,"9514804",5012240,"2012-12-31",-5150524,87476,5238000,202,0,1292000,1699133,407133,-451040,-43907,0.9912,0.993,0.9736,0.9569,0.0167,0.5012,0.9675
"59",2013-12-31,"9514804",4561200,"2013-12-31",-4743391,1786609,6530000,254,0,411000,4864,-406136,1796060,1389924,1.3047,1.2795,0.9721,0.6985,0.2736,0.4561,0.7164
"60",2014-12-31,"9514804",6357260,"2014-09-30",-5149527,1791473,6941000,307,13,0,0,0,0,0,1,1,1.174,0.9159,0.2581,0.6357,0.9159
"61",2015-12-31,"9514804",6357260,"2014-09-30",-5149527,1791473,6941000,359,65,NA,NA,NA,NA,NA,NA,NA,1.174,0.9159,0.2581,0.6357,0.9159
"62",2012-06-30,"9540520",NA,NA,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2013-06-30,"9540520",NA,NA,NA,NA,NA,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2014-06-30,"9540520",892400,"2014-06-30",-920000,0,920000,32,0,1710000,0,-1710000,1132700,-577300,0.3531,0.7782,0.97,0.97,0,0.0892,0.9895
"65",2015-06-30,"9540520",2025100,"2015-06-30",-2630000,0,2630000,85,0,NA,NA,NA,NA,NA,NA,NA,0.77,0.77,0,0.2025,0.77
"66",2006-12-31,"958292",NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2007-12-31,"958292",1567630,"2007-12-31",-1785912,0,1785912,46,0,414087,0,-414087,225700,-188387,0.8798,0.9049,0.8778,0.8778,0,0.1568,0.9777
"68",2008-12-31,"958292",1793330,"2008-12-31",-2199999,0,2199999,98,0,266000,0,-266000,-118670,-384670,0.7855,0.8132,0.8152,0.8152,0,0.1793,0.9585
"69",2009-12-31,"958292",1674660,"2009-12-31",-2465999,0,2465999,150,0,1397089,0,-1397089,866800,-530289,0.6833,0.8274,0.6791,0.6791,0,0.1675,0.9193
"70",2010-12-31,"958292",2541460,"2010-12-31",-3863088,0,3863088,202,0,1417182,22232,-1394950,1954090,559140,1.22,1.1412,0.6579,0.6579,0,0.2541,0.8652
"71",2011-12-31,"958292",4495550,"2011-12-31",-5258038,22232,5280270,254,0,1105352,0,-1105352,793470,-311882,0.9306,0.9443,0.8556,0.8514,0.0042,0.4496,0.92
"72",2012-12-31,"958292",5289020,"2012-12-31",-6363390,22232,6385622,307,0,2141875,0,-2141875,4392440,2250565,1.4255,1.3029,0.8318,0.8283,0.0035,0.5289,0.8882
"73",2013-12-31,"958292",9681460,"2013-12-31",-8505265,22232,8527497,359,0,1277748,0,-1277748,3314460,2036712,1.2104,1.1858,1.1379,1.1353,0.0026,0.9681,1.1177
"74",2014-12-31,"958292",12995920,"2014-12-31",-9783013,22232,9805245,411,0,0,0,0,0,0,1,1,1.3277,1.3254,0.0023,1.2996,1.3254
