"";"Date";"NAV";"NCF";"CD";"CC";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return";"TVPI";"NAV2CC";"CD2CC";"NAV2minus.NCF"
"1";1998-12-31;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
"2";1999-12-31;0;-2189237;0;2189237;-2189237;0;-2189237;-Inf;0;0;0;0
"3";2000-12-31;6500410;-7180356;0;7180356;-4991119;6500410;1509291;Inf;0,9053;0,9053;0;0,9053
"4";2001-12-31;5032090;-7180356;0;7180356;0;-1468320;-1468320;0,7741;0,7008;0,7008;0;0,7008
"5";2002-12-31;4648850;-7438171;0;7438171;-257815;-383240;-641055;0,8726;0,625;0,625;0;0,625
"6";2003-12-31;4648850;-7438171;0;7438171;0;0;0;1;0,625;0,625;0;0,625
"7";2004-12-31;5578620;-7438171;0;7438171;0;929770;929770;1,2;0,75;0,75;0;0,75
"8";2005-12-31;1859540;-2603360;4834811;7438171;4834811;-3719080;1115731;1,2;0,9;0,25;0,65;0,7143
"9";2006-12-31;0;2603359;10041530;7438171;5206719;-1859540;3347179;2,8;1,35;0;1,35;0
"10";2007-12-31;0;2603359;10041530;7438171;0;0;0;NA;1,35;0;1,35;0
"11";2008-12-31;0;2584619;10054618;7469999;-18740;0;-18740;-Inf;1,346;0;1,346;0
"12";2009-12-31;0;2584619;10054619;7470000;0;0;0;NA;1,346;0;1,346;0
