"";"Date";"NAV";"NCF";"CD";"CC";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return";"TVPI";"NAV2CC";"CD2CC";"NAV2minus.NCF";"Fuel.Level"
"1";1996-12-31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";1997-12-31;NA;-1269311;0;1269311;NA;NA;NA;NA;NA;NA;0;NA;NA
"3";1998-12-31;3503290;-3548601;37415;3586016;-2279290;NA;NA;NA;0,9874;0,9769;0,0104;0,9872;0,9903
"4";1999-12-31;5693090;-6116107;37415;6153522;-2567506;2189800;-377706;0,8922;0,9313;0,9252;0,0061;0,9308;0,946
"5";2000-12-31;4934730;-6963840;36219;7000059;-847733;-758360;-1606093;0,7179;0,7101;0,705;0,0052;0,7086;0,7578
"6";2001-12-31;4650050;-8005313;36219;8041532;-1041473;-284680;-1326153;0,7313;0,5828;0,5783;0,0045;0,5809;0,6022
"7";2002-12-31;4280000;-8005313;37415;8042728;0;-370050;-370050;0,9204;0,5368;0,5322;0,0047;0,5346;0,5587
"8";2003-12-31;4280000;-8167417;69085;8236502;-162104;0;-162104;0,9621;0,528;0,5196;0,0084;0,524;0,536
"9";2004-12-31;4720000;-7476526;758781;8235307;690891;440000;1130891;1,2642;0,6653;0,5731;0,0921;0,6313;0,5877
"10";2005-12-31;1400000;-3689934;4834847;8524781;3786592;-3320000;466592;1,0989;0,7314;0,1642;0,5672;0,3794;0,1644
"11";2006-12-31;1560000;-3596919;4927862;8524781;93015;160000;253015;1,1807;0,7611;0,183;0,5781;0,4337;0,1831
"12";2007-12-31;1240000;-3499285;5025496;8524781;97634;-320000;-222366;0,8575;0,735;0,1455;0,5895;0,3544;0,1456
"13";2008-12-31;943040;-3280366;5244416;8524782;218919;-296960;-78041;0,9371;0,7258;0,1106;0,6152;0,2875;0,1108
"14";2009-12-31;713480;-3024354;5500428;8524782;256012;-229560;26452;1,028;0,7289;0,0837;0,6452;0,2359;0,0838
"15";2010-12-31;707700;-2997118;5533740;8530858;27236;-5780;21456;1,0301;0,7316;0,083;0,6487;0,2361;0,0824
"16";2011-12-31;44100;-2333513;6197345;8530858;663605;-663600;5;1;0,7316;0,0052;0,7265;0,0189;0,0046
"17";2012-12-31;0;-2333513;6197345;8530858;0;-44100;-44100;0;0,7265;0;0,7265;0;-6e-04
"18";2013-12-31;0;-2333513;6197345;8530858;0;0;0;NA;0,7265;0;0,7265;0;-6e-04
"19";2014-12-31;0;-1865352;6660767;8526119;468161;0;468161;Inf;0,7812;0;0,7812;0;0
