"";"Date";"NAV";"NCF";"CD";"CC";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return";"TVPI";"NAV2CC";"CD2CC";"NAV2minus.NCF";"Fuel.Level"
"1";2006-12-31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";2007-12-31;NA;-2579420;87247;2666667;NA;NA;NA;NA;NA;NA;0,0327;NA;NA
"3";2008-12-31;3447900;-6666666;1;6666667;-4087246;NA;NA;NA;0,5172;0,5172;0;0,5172;0,5349
"4";2009-12-31;4710080;-4816834;2104173;6921007;1849832;1262180;3112012;1,9026;0,9846;0,6805;0,304;0,9778;0,6805
"5";2010-12-31;2965120;-2889640;4031367;6921007;1927194;-1744960;182234;1,0387;1,0109;0,4284;0,5825;1,0261;0,4284
"6";2011-12-31;2570400;-1672971;5248036;6921007;1216669;-394720;821949;1,2772;1,1297;0,3714;0,7583;1,5364;0,3714
"7";2012-12-31;1953540;-1426508;5494499;6921007;246463;-616860;-370397;0,8559;1,0761;0,2823;0,7939;1,3695;0,2823
"8";2013-12-31;0;1214949;8135956;6921007;2641457;-1953540;687917;1,3521;1,1755;0;1,1755;0;0
"9";2014-12-31;0;1214949;8135956;6921007;0;0;0;NA;1,1755;0;1,1755;0;0
"10";2015-12-31;0;1214949;8135956;6921007;0;0;0;NA;1,1755;0;1,1755;0;0
