"";"Date";"NAV";"NCF";"CD";"CC";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return";"TVPI";"NAV2CC";"CD2CC";"NAV2minus.NCF";"Fuel.Level"
"1";1999-12-31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";2000-12-31;NA;-2592943;-510;2592433;NA;NA;NA;NA;NA;NA;-2e-04;NA;NA
"3";2001-12-31;NA;-2496709;302169;2798878;96234;NA;NA;NA;NA;NA;0,108;NA;NA
"4";2002-12-31;NA;-2319921;602901;2922822;176788;NA;NA;NA;NA;NA;0,2063;NA;NA
"5";2003-12-31;NA;-4895586;602901;5498487;-2575665;NA;NA;NA;NA;NA;0,1096;NA;NA
"6";2004-12-31;4823400;-5322308;1397243;6719551;-426722;NA;NA;NA;0,9258;0,7178;0,2079;0,9063;0,7628
"7";2005-12-31;9392850;-2330202;5468050;7798252;2992106;4569450;7561556;2,5677;1,9057;1,2045;0,7012;4,0309;1,1995
"8";2006-12-31;5362260;-1689525;6173422;7862947;640677;-4030590;-3389913;0,6391;1,4671;0,682;0,7851;3,1738;0,6872
"9";2007-12-31;1500190;2582121;10539234;7957113;4271646;-3862070;409576;1,0764;1,513;0,1885;1,3245;-0,581;0,1922
"10";2008-12-31;1748170;2704473;10598438;7893965;122352;247980;370332;1,2469;1,5641;0,2215;1,3426;-0,6464;0,2312
"11";2009-12-31;1633160;2698067;10602205;7904138;-6406;-115010;-121416;0,9305;1,548;0,2066;1,3413;-0,6053;0,2155
"12";2010-12-31;1633160;2904424;10812343;7907919;206357;0;206357;1,1264;1,5738;0,2065;1,3673;-0,5623;0,215
"13";2011-12-31;1633160;2897243;10812343;7915100;-7181;0;-7181;0,9956;1,5724;0,2063;1,366;-0,5637;0,2141
"14";2012-12-31;1633160;4111265;12055544;7944279;1214022;0;1214022;1,7434;1,7231;0,2056;1,5175;-0,3972;0,2105
"15";2013-12-31;1633160;4364656;12358153;7993497;253391;0;253391;1,1552;1,7503;0,2043;1,546;-0,3742;0,2043
"16";2014-12-31;0;4364656;12358153;7993497;0;-1633160;-1633160;0;1,546;0;1,546;0;0
"17";2015-12-31;0;4364656;12358153;7993497;0;0;0;NA;1,546;0;1,546;0;0
"18";2016-12-31;0;4364656;12358153;7993497;0;0;0;NA;1,546;0;1,546;0;0
