"";"Date";"NAV";"NCF";"CD";"CC";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return";"TVPI";"NAV2CC";"CD2CC";"NAV2minus.NCF";"Fuel.Level"
"1";2005-12-31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";2006-12-31;5000000;-5000000;0;5000000;NA;NA;NA;NA;1;1;0;1;1
"3";2007-12-31;6094560;-6250000;0;6250000;-1250000;1094560;-155440;0,9689;0,9751;0,9751;0;0,9751;0,9776
"4";2008-12-31;5104830;-6583489;0;6583489;-333489;-989730;-1323219;0,7829;0,7754;0,7754;0;0,7754;0,7866
"5";2009-12-31;5301530;-6863489;0;6863489;-280000;196700;-83300;0,9837;0,7724;0,7724;0;0,7724;0,7746
"6";2010-12-31;7055110;-6863489;0;6863489;0;1753580;1753580;1,3308;1,0279;1,0279;0;1,0279;1,0277
"7";2011-12-31;7123420;-6931800;0;6931800;-68311;68310;-1;1;1,0276;1,0276;0;1,0276;1,0277
"8";2012-12-31;0;6409796;13341596;6931800;13341596;-7123420;6218176;1,8729;1,9247;0;1,9247;0;-3e-04
"9";2013-12-31;0;6410250;13340250;6930000;454;0;454;Inf;1,925;0;1,925;0;0
"10";2014-12-31;0;6410250;13340250;6930000;0;0;0;NA;1,925;0;1,925;0;0
