"";"Date";"NAV";"NCF";"CD";"CC";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return";"TVPI";"NAV2CC";"CD2CC";"NAV2minus.NCF"
"1";1997-12-31;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
"2";1998-12-31;4513800;-4513795;299200;4812995;-4513795;4513800;5;Inf;1,00000103885419;0,937836004400586;0,0621650344535991;1,00000110771535
"3";1999-12-31;4535250;-4669080;299200;4968280;-155285;21450;-133835;0,970349816119456;0,97306311238497;0,912841063708165;0,0602220486768057;0,971336965740574
"4";2000-12-31;2750500;-2713290;2254990;4968280;1955790;-1784750;171040;1,03771346673282;1,00748951347348;0,553612115259204;0,453877398214271;1,01371397823307
"5";2001-12-31;2121370;-2738135;2254990;4993125;-24845;-629130;-653975;0,76223413924741;0,876477156089623;0,424858179997497;0,451618976092127;0,774749966674397
"6";2002-12-31;24240;-580255;4412870;4993125;2157880;-2097130;60750;1,0286371542918;0,888643885342346;0,00485467517837026;0,883789210163975;0,0417747369690912
"7";2003-12-31;20600;-580255;4412870;4993125;0;-3640;-3640;0,84983498349835;0,887914882964076;0,00412567280010014;0,883789210163975;0,0355016329027755
"8";2004-12-31;4850;-569870;4423255;4993125;10385;-15750;-5365;0,739563106796116;0,886840405557642;0,000971335586431343;0,88586906997121;0,00851071296962465
"9";2005-12-31;4450;-569870;4423255;4993125;0;-400;-400;0,917525773195876;0,886760295406184;0,000891225434973088;0,88586906997121;0,00780879849790303
"10";2006-12-31;3500;-569870;4423255;4993125;0;-950;-950;0,786516853932584;0,88657003379647;0,000700963825259732;0,88586906997121;0,00614175162756418
"11";2007-12-31;7930;-521625;4471500;4993125;48245;4430;52675;16,05;0,897119539366629;0,00158818375265991;0,895531355613969;0,015202492211838
"12";2008-12-31;0;-273956;4409044;4683000;247669;-7930;239739;31,2319041614124;0,941499893230835;0;0,941499893230835;0
"13";2009-12-31;0;-272845;4407155;4680000;1111;0;1111;Inf;0,941699786324786;0;0,941699786324786;0
"14";2010-12-31;0;-272845;4407155;4680000;0;0;0;NA;0,941699786324786;0;0,941699786324786;0
"15";2011-12-31;0;-272845;4407155;4680000;0;0;0;NA;0,941699786324786;0;0,941699786324786;0
"16";2012-12-31;0;-272845;4407155;4680000;0;0;0;NA;0,941699786324786;0;0,941699786324786;0
"17";2013-12-31;0;-272845;4407155;4680000;0;0;0;NA;0,941699786324786;0;0,941699786324786;0
"18";2014-12-31;0;-272845;4407155;4680000;0;0;0;NA;0,941699786324786;0;0,941699786324786;0
"19";2015-12-31;0;-272845;4407155;4680000;0;0;0;NA;0,941699786324786;0;0,941699786324786;0
