This file was created using the 201603 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
199909   ,-2.70    ,3.85   ,-4.01    ,0.39
199910    ,5.65   ,-5.88   ,-3.69    ,0.39
199911    ,2.85    ,5.95   ,-8.13    ,0.36
199912    ,6.85    ,5.41   ,-8.04    ,0.44
200001   ,-4.35    ,3.68   ,-0.47    ,0.41
200002    ,1.53   ,20.98  ,-13.10    ,0.43
200003    ,7.04  ,-16.12    ,8.88    ,0.47
200004   ,-4.77   ,-4.85    ,6.78    ,0.46
200005   ,-3.47   ,-3.52    ,4.76    ,0.50
200006    ,3.68   ,10.39  ,-10.53    ,0.40
200007   ,-2.13   ,-3.46    ,8.84    ,0.48
200008    ,7.02    ,0.95   ,-2.30    ,0.50
200009   ,-5.36   ,-0.68    ,8.95    ,0.51
200010   ,-2.84   ,-4.76    ,6.84    ,0.56
200011  ,-10.22   ,-4.34   ,15.38    ,0.51
200012    ,1.55    ,3.06   ,10.61    ,0.50
200101    ,3.18    ,5.20   ,-8.31    ,0.54
200102   ,-9.82   ,-1.36   ,16.89    ,0.38
200103   ,-7.27   ,-0.98   ,10.39    ,0.42
200104    ,7.68    ,2.22   ,-8.35    ,0.39
200105    ,0.85    ,3.04    ,1.73    ,0.32
200106   ,-1.95    ,4.81   ,-0.22    ,0.28
200107   ,-2.03   ,-4.25    ,3.13    ,0.30
200108   ,-6.21    ,1.24    ,3.77    ,0.31
200109   ,-9.24   ,-5.80    ,1.64    ,0.28
200110    ,2.21    ,6.83   ,-7.37    ,0.22
200111    ,7.94    ,0.26   ,-0.87    ,0.17
200112    ,1.63    ,4.83    ,1.63    ,0.15
200201   ,-1.84   ,-0.01    ,3.12    ,0.14
200202   ,-2.14   ,-2.08    ,4.85    ,0.13
200203    ,4.36    ,3.49    ,1.10    ,0.13
200204   ,-5.36    ,3.79    ,7.47    ,0.15
200205   ,-1.10   ,-3.10    ,3.00    ,0.14
200206   ,-7.23    ,1.69    ,2.38    ,0.13
200207   ,-8.19   ,-5.01   ,-3.78    ,0.15
200208    ,0.10   ,-0.80    ,1.94    ,0.14
200209  ,-10.13    ,2.90    ,0.62    ,0.14
200210    ,7.52   ,-2.19   ,-6.19    ,0.14
200211    ,5.85    ,2.60   ,-1.04    ,0.12
200212   ,-5.44   ,-0.21    ,4.10    ,0.11
200301   ,-2.43    ,1.03   ,-0.40    ,0.10
200302   ,-1.68   ,-0.90   ,-0.13    ,0.09
200303    ,0.81    ,0.50   ,-2.08    ,0.10
200304    ,8.11    ,1.21   ,-0.10    ,0.10
200305    ,6.28    ,4.44    ,0.81    ,0.09
200306    ,1.45    ,1.32    ,0.16    ,0.10
200307    ,2.10    ,4.32   ,-0.90    ,0.07
200308    ,2.46    ,2.68    ,1.38    ,0.07
200309   ,-1.07    ,0.33    ,0.12    ,0.08
200310    ,6.01    ,2.18    ,3.25    ,0.07
200311    ,1.45    ,2.14    ,0.89    ,0.07
200312    ,4.53   ,-2.68    ,1.63    ,0.08
200401    ,2.04    ,1.70    ,1.42    ,0.07
200402    ,1.48   ,-0.51    ,0.72    ,0.06
200403   ,-1.15    ,2.30    ,0.28    ,0.09
200404   ,-1.99   ,-1.87   ,-2.74    ,0.08
200405    ,1.14   ,-0.22    ,0.68    ,0.06
200406    ,2.10    ,1.55    ,1.40    ,0.08
200407   ,-3.77   ,-3.67    ,4.12    ,0.10
200408    ,0.08   ,-1.33    ,1.40    ,0.11
200409    ,2.06    ,3.82    ,0.12    ,0.11
200410    ,1.68    ,0.33    ,0.23    ,0.11
200411    ,4.61    ,3.99    ,1.29    ,0.15
200412    ,3.25   ,-0.22   ,-0.15    ,0.16
200501   ,-2.61   ,-1.27    ,1.58    ,0.16
200502    ,2.20   ,-0.16    ,1.69    ,0.16
200503   ,-1.68   ,-1.44    ,1.36    ,0.21
200504   ,-2.86   ,-3.89   ,-0.24    ,0.21
200505    ,3.37    ,2.47   ,-0.78    ,0.24
200506    ,0.95    ,2.82    ,2.37    ,0.23
