DATE,ASSET-BACKED SECURITY SPREAD,BANK BOND SPREAD,COMMERCIAL MBS SPREAD,COMMERCIAL PAPER - T-BILL SPREAD,COMMERCIAL REAL ESTATE SPREAD,CORPORATE BOND SPREAD,COVERED INTEREST SPREAD,CREDIT MARKETS,EQUITY MARKETS,FINANCIAL BETA,FOREIGN EXCHANGE MARKETS,INTERBANK COST OF BORROWING,INTERBANK LIQUIDITY SPREAD,INTERBANK MARKETS,LIQUIDITY SPREAD,REAL ESTATE MARKET,RESIDENTIAL MBS SPREAD,RESIDENTIAL REAL ESTATE SPREAD,SECURITIZATION MARKET,STOCK MARKET CRASHES,TREASURY YIELD CURVE SPREAD,WEIGHTED DOLLAR CRASHES
2016-04-14,0.94130165753366,2.2806923131229,1.3958089015416,1.0489325809849,0.75773216963456,2.9026837524317,2.5172815648463,2.2856884422159,2.2055109105097,8.9338919589999,20.935935290462,10.668896839638,5.666735453183,20.935935290462,8.9338919589999,5.4230999155069,1.9513806784435,3.4717192370634,20.162366062202,0.57362728634838,17.742616250388,1.8461225254654
2016-04-13,0.94707625573723,2.2814510194562,1.3993495310971,1.0490590320404,0.74537996712005,2.9404949062827,2.516331098726,2.2580496904357,2.1967358164157,8.9144659138237,21.072938734357,10.65699147898,5.6769358383309,21.072938734357,8.9144659138237,5.4173814887292,1.9503899252979,3.4669915634313,20.169368037747,0.57690169698533,17.72946220399,1.8630041367723
2016-04-12,0.95221859866303,2.2792592011599,1.4084540070969,1.0477102207812,0.75611129238153,2.9550548554005,2.5153247228338,2.2721066086818,2.1882960762361,8.8787470565642,21.195822660686,10.686893555534,5.687642027701,21.195822660686,8.8787470565642,5.3956551248222,1.946091064192,3.4495640606303,20.109098749352,0.57439472634142,17.685615382662,1.8490886403492
2016-04-11,0.95706588912588,2.2783740437711,1.4050398285969,1.0472254917349,0.74152339710421,2.9852926000174,2.5143742567135,2.2460887341546,2.1820920288193,8.7398403894439,21.197146365458,10.669371016809,5.6877052532288,21.197146365458,8.7398403894439,5.3899366980445,1.9451003110464,3.4448363869981,20.082488207282,0.57007148104733,17.686930787302,1.8254859389332
2016-04-08,0.96182887888503,2.2703444017435,1.3808033762827,1.0451179741424,0.87890671737873,2.9862427694416,2.5134237905931,2.2283708690094,2.1775088586555,8.5929961984882,21.134932241177,10.784453005078,5.6580946310536,21.134932241177,8.5929961984882,5.3573914771353,1.9388199436494,3.4185715334859,19.966981181431,0.55729786871884,17.652291798452,1.7573915142595
2016-04-07,0.96650756794048,2.260291542827,1.3565669239684,1.0430104565498,0.86342454499629,2.9878077543756,2.5125292342446,2.1580862777786,2.1767263661885,8.4060466239428,21.06874700258,10.698574177584,5.6263764912858,21.06874700258,8.4060466239428,5.3175116628668,1.931045050321,3.3864666125458,19.827358555892,0.54381650617455,17.600114081072,1.6834279686456
2016-04-06,0.97080690382927,2.2493956768736,1.3342272374875,1.042947231022,0.84145886360171,2.9589393715758,2.5115787681242,2.1914539922635,2.1799122283755,8.2458339717905,20.981382487632,10.683343223941,5.5973770492124,20.981382487632,8.2458339717905,5.2728666287064,1.9220275174542,3.3508391112522,19.661525135713,0.52908165830831,17.530836103374,1.6016073740308
2016-04-05,0.97485333760695,2.2435578531423,1.308915951201,1.043242283485,0.8096002417317,2.9708164893783,2.5106842117757,2.1088730908373,2.1867869836212,8.0952299011232,20.963733090672,10.586761017344,5.5705694254352,20.963733090672,8.0952299011232,5.2518731233113,1.9178126184792,3.3340605048321,19.564023615589,0.51907935706577,17.497074050951,1.5478702075715
2016-04-04,0.97860471892168,2.2314396269851,1.2822558536554,1.0382263916147,0.78383388264034,2.9684690119773,2.5097337456553,2.067596613204,2.1960651085868,8.0549156353274,20.857395473993,10.525698362064,5.5305265911769,20.857395473993,8.0549156353274,5.2013921594764,1.9069143338785,3.2944778255979,19.37875830096,0.50493287986085,17.404557257949,1.4692681631498
2016-04-01,0.98252470164381,2.2230938573187,1.2494628799154,1.0304496516983,0.75007492192195,2.9477050154427,2.5088391893068,2.0234416811385,2.2071876800818,8.0116770186449,20.828494586473,10.437248487892,5.4855310905761,20.828494586473,8.0116770186449,5.1694662996761,1.9002645331052,3.2692017665709,19.249437330517,0.49612437416304,17.333963875611,1.4193490807431
